descricao,problema
"Solicitamos a instalação da linha 0800.642.2888 (Atendimento AABB Comunidade).","Telefone – Conserto/Remanejamento"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Acessar o PowerBI.<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Uma mensagem de erro é exibida.<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: Anexado.<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: Regularizar o acesso.<br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: Não atendimento das demandas recebidas sobre atuação da FBB.<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: 31/07/2017.<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: Não.<br><br><b> Informações Adicionais: URGENTE.</b><br>","BI - Dúvida"
"Prezados,<div><br></div><div>Solicitamos manutenção das persianas da GEFIC e GEMAV que não conseguem mais fechar as aletas. No período da tarde o sol é muito forte e dificulta o uso dos computadores.</div><div><br></div><div>Atenciosamente,</div><div><br></div><div>Rafael Brito</div>","Equipamento (exceto informática) - Manutenção"
"Favor verificar falha ao aprovar pagamento no SIGA conforme tela anexa e e-mail do fornecedor responsável pela manutenção do SIGA.","SIGA - Manutenção Corretiva"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: FBB - Relatórios Contábeis Sapiens - Inconsistência - Observamos que o balancete de junho, bem como os relatórios razão deste mês, estão sendo gerados pelo Sapiens com o saldo anterior e final errados em diversas contas.<div><br></div><div>Entretanto, quando a consulta abrange um período maior (mudando apenas o parâmetro de data), o sistema traz os saldos inicial e final corretos, de forma que o problema está, aparentemente, apenas no mês de junho.</div><div><br></div><div>Pedimos que a inconsistência seja verificada junto à tecnologia.</div><div><br></div><div>Encaminhamos, em anexo, alguns exemplos de relatórios, para evidenciar a diferença entre os saldos informados.</div><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: <br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","Sapiens - Manutenção Corretiva"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: reabertura do 46777, o arquivo anexo naquele suporte dizia o número do relatório<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: recebimento do email na caixa pessoal<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","Sapiens - Manutenção Corretiva"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Não consigo acessar a Intranet e Correio Web. De acordo com o pessoal da manutenção do CCBB, o problema deve ser solucionado pela Getec.<br><br><b>Informações Adicionais:&nbsp;</b><br><div><b>Foram realizados testes mas não funcionou.</b></div>","Acessos Diversos"
"Confecção de carimbo.<div><br></div><div>Aline Rocha</div><div>Assessora</div><div><br></div><div>Atenção! Tenho carimbo, caso fique mais prático poderá ser confeccionado apenas a borrachinha do carimbo.</div><div>Modelo do carimbo: trodat printy 4911</div>","Carimbo e cartão"
,"Publicação no DOU"
"A/C Gefic:<div><br></div><div>Devolução de Recursos Adiantáveis:</div><div><br></div><div>Fineza providenciar devolução de Recursos conforme abaixo:</div><div><br></div><div>Projeto: 14904</div><div>Tipo: AMP</div><div>Valor: R$ 2.853,24</div><div><br></div><div>Comprovante de depósito em anexo.</div><div><br></div><div>Att.,</div><div>Willian</div><div><br></div>","Sapiens - Dúvida"
"Solicito envio de carta registrada com AR e protocolo de recebimento, conforme abaixo:<br><br>Ao Senhor<br>Daniel Azevedo Lôbo<br>Procurador da República <br>Ministério Publico Federal<br>Procuradoria da República em Rondônia - 3° Ofício<br>Rua José Camacho, 307 - Embratel <br>Cep: 76.820-886 - Porto Velho - RO<br><br>Obs:<br>Solicitamos informar n AR para acompanhamento no site dos Correios.<br>Gentileza enviar com urgência pois trata-se de demanda com cumprimento de prazo.<br><br>Muito obrigada.<br><br><br>","Serviços externos"
"Solicito a análise tributária NF 07&nbsp; PNHU - Adenam- Projeto 14.838. As<br>
 declarações estão disponíveis em Geate/Publico/Demais Iniciativas/ <br>
PNHU/Declarações e NF/ 14.838","Impostos/Tributos – Cálculo/Emissão Guias"
"Solicito a análise tributária NF 06&nbsp; PNHU - Adenam- Projeto 14.838. As
 declarações estão disponíveis em Geate/Publico/Demais Iniciativas/ 
PNHU/Declarações e NF/ 14.838","Impostos/Tributos – Cálculo/Emissão Guias"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: excluir notas no sapiens para devolução de tarefa para a entidade<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: msg: tarefas já contabilizadas<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: anexado os numeros das nfs<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","Sapiens - Manutenção Corretiva"
,"Publicação no DOU"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>Informações Adicionais:  </b><br><div><b><br></b></div><div><b>Ao tentar fechar uma tarefa no SGP para geração do pagamento, aparece a mensagem de erro conforme ""print"" anexo.</b></div>","SGP - Manutenção Corretiva"
"Prezados, solicito a compra de quadro branco 150x120cm.<div>Obrigado;<span class=""Apple-tab-span"" style=""white-space:pre"">				</span></div>","Material Não Padronizado"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula"">6.599.539-2</span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">LUIZ TOMAZ COSTA</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Não solicitado</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite""></span><br>
            <span id=""sites_opc"" style="""">
                <b>URL desejada: </b><span name=""r_urlSitio"">http://agropecnatal.com.br/</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">Captação de recursos</span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">Captação de recursos</span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Conseguir usar.</span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens"">Não solicitado</span>
            <span id=""sapiens_opc"" style=""display: none;"">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">- Nenhuma -</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"<div>Prezados</div>Solicitamos voucher para uso da Gepem.<div>Grata</div>","Táxi – voucher"
"Solicito postagem de 03 envelopes nos correios.","Serviços externos"
"Solicito a analise tributária NF 26 - MOB 14 - 14.561. A Declaração está em Geate/Publico/Res Solidos/Cataforte 3/Produto das Bases/14.561 -Pasta Mobilização","Impostos/Tributos – Cálculo/Emissão Guias"
"Solicito reserva do auditório dia 27/07 à tarde.<div><br></div>","Reserva de espaço"
"
            <b>Documentos: </b><span name=""r_documentos"">Não Solicitado</span><br>
	     <span name=""r_docs"">Não Informado</span><br>
            <b>Chaves: </b><span name=""r_chaves"">Solicito empréstimo de chaves extra do armário 1557 da Gecom. Seu dono (Alenor) está de férias e não encaixotou suas coisas para a mudança.</span><br>
        ","Cópias - Documentos, Chaves"
,"Publicação no DOU"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>Informações Adicionais:&nbsp;</b><div><b>Solicitamos substituição do cartucho de toner da impressora SAMSUNG de nossa gerência.</b></div>","Equip de Informática - Instalação/Manutenção/Desinstalação"
"Com a mudança da FBB para o CCBB, (28 - 31/07/2017) solicitamos que o SGP não esteja disponível para as solicitações de pagamento, prestação de contas e de adiantamento nestes dias aos parceiros.<div><br></div><div>Sugerimos a seguinte mensagem ao parceiro a ser exibida pelo sistema (o quanto antes):</div><div><br></div><div>""A Fundação estará entre os dias 28 e 31 de julho em mudança para o CCBB - Centro Cultural Banco do Brasil.</div><div><br></div><div>O Sistema de Gerenciamento de Projetos - SGP estará indisponível para solicitações nestes dias, com previsão de retorno para o dia 1º de Agosto 2017. ""</div><div><br></div><div>Justificativa: Teremos nenhuma ou pouca produtividade na análise de pagamentos e prestação de contas nestes dias, além da Gefic também não efetuar pagamentos e receber documentação de pagamentos. A medida visa evitar acúmulo de solicitações que não poderão ser atendidas em tempo hábil devido ao evento da mudança.</div>","SGP - Manutenção Corretiva"
"Solicitamos 32 pastas cinzas para dossiês, para os projetos do Edital Ecoforte Extrativismo. Estou na sala de informática 18º andar. Obrigado.","Material padronizado – extra"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula"">8.944.863-4</span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">SANDRA SIEBRA ALENCAR</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Não solicitado</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite"">Não solicitado</span><br>
            <span id=""sites_opc"" style=""display: none;"">
                <b>URL desejada: </b><span name=""r_urlSitio"">Não informada</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">Não informado</span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">Não informado</span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Não informado</span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Por favor conceder acesso conforme perfil da funcionária Aline Rocha da Gepro.</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens"">Não solicitado</span>
            <span id=""sapiens_opc"" style=""display: none;"">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">- Nenhuma -</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
